node1,node2,similarity
app1,app2,0.7
app2,app3,0.7
app3,app4,0.5
app4,app5,0.5
app5,app7,0.1
app5,app8,0.3
app7,app11,0.1
app11,app12,0.2
app9,app6,0.2
app6,app8,0.1
app10,app13,0.2
app13,app14,0.1
app14,app12,0.3
app1,host1,0.5
app2,host2,0.2
app3,host9,0.5
app4,host4,0.5
app5,host4,0.6
app6,host6,0.1
app7,host7,0.2
app8,host8,0.2
app9,host9,0.7
app10,host6,0.1
app11,host10,0.3
app12,host8,0.1
app13,host8,0.1
app14,host10,0.3
host1,sv1,0.1
host2,sv1,0.1
host4,sv2,0.8
host9,sv3,0.2
host6,sv3,0.1
host7,sv2,0.2
host10,sv4,0.1
host1,app1,0.5
host2,app2,0.2
host9,app3,0.5
host4,app4,0.5
host4,app5,0.6
host6,app6,0.1
host7,app7,0.2
host8,app8,0.2
host9,app9,0.7
host6,app10,0.1
host10,app11,0.3
host8,app12,0.1
host8,app13,0.1
host10,app14,0.3
sv1,host1,0.1
sv1,host2,0.1
sv2,host4,0.8
sv3,host9,0.2
sv3,host6,0.1
sv2,host7,0.2
sv4,host10,0.1
